latitude,longitude,landslide_size,landslide_trigger
24.7505,93.4221,2,3
41.6507,14.5982,3,12
26.3312531,94.55427723,2,3
-21.1806,48.0043,1,14
12.58,122.29,2,14
6.7397,80.1744,2,14
44.8793,-116.9925,4,15
34.2952,75.3226,2,3
27.4191,87.2714,1,3
38.6743,-82.5388,3,3
34.1516,-117.8864,3,3
24.819,94.3551,2,1
24.9849,92.8411,2,8
3.2971,101.6314,2,3
11.3403,76.8267,3,12
26.8366,88.0839,2,3
9.9792,-83.8525,2,3
36.1184,-117.9722,2,3
33.6303,74.4838,3,3
22.3704,103.2816,5,12
3.1588,101.7575,2,3
39.4052,-90.9836,3,12
-0.7755,37.0386,1,15
28.4505,83.342,2,3
39.2089,-106.9909,3,3
6.6643,80.3897,2,3
40.3444,-79.79,3,3
21.06313524,92.19566765,1,3
7.825,98.3819,3,9
38.5293,-84.599,3,3
26.284,94.5808,2,1
14.0865,-87.2172,2,3
10.503,-66.9995,2,3
45.7081,-121.5015,3,3
43.2453,-79.9367,2,3
30.6326,78.9953,3,1
35.6804,113.6385,2,3
48.3526,23.525,2,3
49.756601,-119.801875,2,12
42.175,26.5736,2,3
9.9242,123.1706,2,12
3.2909,101.6352,2,3
61.5677,9.7416,3,1
44.7573,-122.4891,4,15
27.1005,87.7831,2,15
41.3842,-124.0682,2,12
-28.2167,-65.8667,1,3
22.4209,103.8838,2,3
44.6567,-123.7496,4,15
12.0138,124.8172,2,12
31.9671,76.8521,2,3
34.9354,73.8295,2,13
43.6165,-122.1355,4,15
43.4379,-123.4033,4,15
45.6486,-123.3321,4,15
-8.0011,-34.9029,2,3
-17.98741703,178.3964727,3,3
27.357968,85.975127,2,12
9.4359,-83.6303,2,12
24.004,93.9815,2,1
27.0096,88.2548,2,12
13.1819,76.1147,3,12
19.9006,-99.3417,1,12
45.6721,-121.877,4,15
0.0487,37.6538,4,8
45.298184,-122.8087328,3,12
-8.5579,115.4238,2,3
30.966,78.4151,2,3
44.6553,-123.8195,4,15
45.2335,-123.1587,4,15
46.4093,6.9932,1,3
45.98329529,-122.4228509,3,12
26.2363,94.8133,2,9
39.3745,-106.3146,2,3
11.3432,76.8285,3,15
28.0,85.71,1,9
19.4271,-99.1276,2,3
21.0,99.0,1,3
34.0626,-117.8053,3,3
28.22020061,84.17758452,2,3
40.4634,-80.613,3,12
27.5108,86.02,2,3
13.6016,-87.1482,2,3
40.4679,-111.765,2,3
19.0949,72.8899,1,3
48.5936,89.5403,1,15
30.7635,105.7051,2,14
27.9526,84.227,2,3
51.575712,-112.911742,2,12
34.151,74.1213,2,12
45.5887,-122.0698,2,6
26.78684394,105.3652962,2,14
15.5063,73.8362,2,12
-22.8929,-43.1124,2,3
28.27254506,83.95706865,3,1
52.97967084,-119.3923999,2,5
45.7063,-123.8857,4,15
